question,answer,combined
幾點營業&營業到幾點呢 ,平日11:00-21:30 假日 10:00-22:00,question: 幾點營業&營業到幾點呢 ; answer: 平日11:00-21:30 假日 10:00-22:00
今天有蛋糕嗎? ,"有,口味依現場為主","question: 今天有蛋糕嗎? ; answer: 有,口味依現場為主"
請問可以確認訂位嗎 ,可以,question: 請問可以確認訂位嗎 ; answer: 可以
訂金匯款到哪裡呢 ,(013)015506153694,question: 訂金匯款到哪裡呢 ; answer: (013)015506153694
訂金可以給現金嗎 ,可以,question: 訂金可以給現金嗎 ; answer: 可以
有自備蛋糕請問可以借冰嗎 ,可以,question: 有自備蛋糕請問可以借冰嗎 ; answer: 可以
請問可以在店內慶生嗎 ,可以，慶生結束後要把垃圾帶走,question: 請問可以在店內慶生嗎 ; answer: 可以，慶生結束後要把垃圾帶走
寵物可以落地嗎 ,可以，要繫牽繩,question: 寵物可以落地嗎 ; answer: 可以，要繫牽繩
有用餐時間限制嗎 ,90分鐘,question: 有用餐時間限制嗎 ; answer: 90分鐘
壽星活動 ,加入orcard 會員會贈送生日抵用金100 當天可做使用,question: 壽星活動 ; answer: 加入orcard 會員會贈送生日抵用金100 當天可做使用
有播放甚麼運動頻道 ,棒球or籃球(愛爾達1台),question: 有播放甚麼運動頻道 ; answer: 棒球or籃球(愛爾達1台)
有素食嗎 ,有的,question: 有素食嗎 ; answer: 有的
店狗今天在嗎? ,店狗不在了,question: 店狗今天在嗎? ; answer: 店狗不在了
有收服務費嗎 ,有的 一成服務費,question: 有收服務費嗎 ; answer: 有的 一成服務費
包場資訊 ,平日一樓23000 二樓20000 假日一樓 30000 二樓28000,question: 包場資訊 ; answer: 平日一樓23000 二樓20000 假日一樓 30000 二樓28000
小朋友要算低消嗎 ,超過120公分要,question: 小朋友要算低消嗎 ; answer: 超過120公分要
低消怎麼算 ,每位人頭100元 每位都要點一樣餐點,question: 低消怎麼算 ; answer: 每位人頭100元 每位都要點一樣餐點
有水果蛋糕嗎 ,會依季節出限定水果甜點 時間不一定 依甜點師出的為主,question: 有水果蛋糕嗎 ; answer: 會依季節出限定水果甜點 時間不一定 依甜點師出的為主
紅茶奶茶是什麼茶包 ,紅茶是古早味紅茶茶包 奶茶是伯爵紅茶茶包,question: 紅茶奶茶是什麼茶包 ; answer: 紅茶是古早味紅茶茶包 奶茶是伯爵紅茶茶包
奶昔可以做去冰嗎 ,奶昔是用巧克力冰下去打的 無法去冰,question: 奶昔可以做去冰嗎 ; answer: 奶昔是用巧克力冰下去打的 無法去冰
海鮮料裡有什麼 ,淡菜、蛤蜊、蝦子、蟹管肉,question: 海鮮料裡有什麼 ; answer: 淡菜、蛤蜊、蝦子、蟹管肉
炒時蔬有什麼 ,花椰菜、玉米筍、少許九層塔,question: 炒時蔬有什麼 ; answer: 花椰菜、玉米筍、少許九層塔
海鮮料裡蟹管肉有多少  ,3顆,question: 海鮮料裡蟹管肉有多少  ; answer: 3顆
水果茶裡有什麼水果 ,奇異果、蘋果、鳳梨,question: 水果茶裡有什麼水果 ; answer: 奇異果、蘋果、鳳梨
水果茶可以無糖嗎 ,不建議無糖會比較澀，糖是自製鳳梨糖漿,question: 水果茶可以無糖嗎 ; answer: 不建議無糖會比較澀，糖是自製鳳梨糖漿
食物裡有堅果嗎 ,青醬裡有堅果成分,question: 食物裡有堅果嗎 ; answer: 青醬裡有堅果成分
鮮煮奶茶是奶精嗎 ,用鮮奶下去煮的,question: 鮮煮奶茶是奶精嗎 ; answer: 用鮮奶下去煮的
奶茶的奶是牛奶嗎 ,不是，是奶精粉,question: 奶茶的奶是牛奶嗎 ; answer: 不是，是奶精粉
早午餐果汁是什麼果汁 ,一般柳橙汁,question: 早午餐果汁是什麼果汁 ; answer: 一般柳橙汁
鮮奶是鮮奶還是沖泡奶 ,鮮奶,question: 鮮奶是鮮奶還是沖泡奶 ; answer: 鮮奶
"麵上面那根是什麼, 能吃嗎 ",炸麵條，可食用,"question: 麵上面那根是什麼, 能吃嗎 ; answer: 炸麵條，可食用"
麵上面紅紅綠綠的是什麼 ,紅是辣椒絲 綠是綠捲,question: 麵上面紅紅綠綠的是什麼 ; answer: 紅是辣椒絲 綠是綠捲
Ocard問卷、入會禮啥時能用 ,下次用餐可做使用,question: Ocard問卷、入會禮啥時能用 ; answer: 下次用餐可做使用
可以帶寵物嗎 ,可以,question: 可以帶寵物嗎 ; answer: 可以
你們牛排有醬嗎 ,沒有，提供海鹽及胡椒,question: 你們牛排有醬嗎 ; answer: 沒有，提供海鹽及胡椒
牛排是幾盎司?,8盎司,question: 牛排是幾盎司?; answer: 8盎司
淡菜裡面有毛正常嗎 ,"正常, 是淡菜本身有的","question: 淡菜裡面有毛正常嗎 ; answer: 正常, 是淡菜本身有的"
餐點可以客製化嗎 ,不能,question: 餐點可以客製化嗎 ; answer: 不能
龍蝦是什麼龍蝦 ,青殼龍蝦 澳洲,question: 龍蝦是什麼龍蝦 ; answer: 青殼龍蝦 澳洲
兒童果汁是什麼果汁 可以換牛奶嗎 ,一般柳橙汁，不能換牛奶,question: 兒童果汁是什麼果汁 可以換牛奶嗎 ; answer: 一般柳橙汁，不能換牛奶
狗狗餐裡有什麼 ,有寵物餐包、飯、蔬食,question: 狗狗餐裡有什麼 ; answer: 有寵物餐包、飯、蔬食
