question,answer,combined
你們店長換了喔？ ,是的,question: 你們店長換了喔？ ; answer: 是的
會員可以幹嘛 ,可報電話集點換餐點優惠卷，不定時發送會員好禮,question: 會員可以幹嘛 ; answer: 可報電話集點換餐點優惠卷，不定時發送會員好禮
賴之前的會員還可以用嗎 ,若有剩的優惠卷可使用,question: 賴之前的會員還可以用嗎 ; answer: 若有剩的優惠卷可使用
外國客人是否有英文菜單 ,有的,question: 外國客人是否有英文菜單 ; answer: 有的
炸雞有骨頭嗎 ,沒有,question: 炸雞有骨頭嗎 ; answer: 沒有
你們有哪些沙拉醬 ,凱薩、胡麻、蜂蜜芥末醬,question: 你們有哪些沙拉醬 ; answer: 凱薩、胡麻、蜂蜜芥末醬
你們只有兩款生啤嗎  ,是的 我們有提供海尼根以及艾德懷斯生啤酒,question: 你們只有兩款生啤嗎  ; answer: 是的 我們有提供海尼根以及艾德懷斯生啤酒
千層蛋糕有幾層？,30-40層,question: 千層蛋糕有幾層？; answer: 30-40層
你們招牌蛋糕是什麼 ,"原味香草千層還有鐵觀音千層都是蠻多客人喜歡的口味,若您喜歡巧克力的話,務必試試我們的榛果巧克力千層","question: 你們招牌蛋糕是什麼 ; answer: 原味香草千層還有鐵觀音千層都是蠻多客人喜歡的口味,若您喜歡巧克力的話,務必試試我們的榛果巧克力千層"
焦糖布雷上面黑黑的是什麼 ,"我們會撒糖在上面,並用火烤,糖經過高溫火烤之後會產生焦糖化的現象,就會看似黑黑的","question: 焦糖布雷上面黑黑的是什麼 ; answer: 我們會撒糖在上面,並用火烤,糖經過高溫火烤之後會產生焦糖化的現象,就會看似黑黑的"
你們有發票嗎 ,有的 請問有需要幫您打統編嗎,question: 你們有發票嗎 ; answer: 有的 請問有需要幫您打統編嗎
啤酒可以外帶嗎  ,可以的沒問提,question: 啤酒可以外帶嗎  ; answer: 可以的沒問提
可以請你們店長出來嗎 ,您好 請問有什麼地方可以給您協助的嗎,question: 可以請你們店長出來嗎 ; answer: 您好 請問有什麼地方可以給您協助的嗎
小狗叫什麼? ,enjoy,question: 小狗叫什麼? ; answer: enjoy
小狗幾歲? ,13歲,question: 小狗幾歲? ; answer: 13歲
店開幾年？,新店十幾年嚕 林口2016/9/15開六年多,question: 店開幾年？; answer: 新店十幾年嚕 林口2016/9/15開六年多
老闆是男生女生？,男生,question: 老闆是男生女生？; answer: 男生
老闆幾歲? ,快40了QQ,question: 老闆幾歲? ; answer: 快40了QQ
多久換一次菜單？,大概半年,question: 多久換一次菜單？; answer: 大概半年
你們廚房很大嗎？,新店鐵皮屋或叢林可以形容 林口中規中矩,question: 你們廚房很大嗎？; answer: 新店鐵皮屋或叢林可以形容 林口中規中矩
員工很多嗎？,大概十來個 要來上班嗎？,question: 員工很多嗎？; answer: 大概十來個 要來上班嗎？
你們牛肉用哪的？,美國喔,question: 你們牛肉用哪的？; answer: 美國喔
你們豬肉用哪的？,台灣豬,question: 你們豬肉用哪的？; answer: 台灣豬
你們龍蝦哪來的？,斯里蘭卡,question: 你們龍蝦哪來的？; answer: 斯里蘭卡
你們可以訂位嗎？,可以,question: 你們可以訂位嗎？; answer: 可以
你們有下午茶嗎？,有,question: 你們有下午茶嗎？; answer: 有
你們推薦什麼餐點？,我們的千層蛋糕是客人來必點,question: 你們推薦什麼餐點？; answer: 我們的千層蛋糕是客人來必點
你們什麼好吃？,都好吃誒看你想吃什麼,question: 你們什麼好吃？; answer: 都好吃誒看你想吃什麼
你們千層怎麼那麼貴？,一分錢一分貨,question: 你們千層怎麼那麼貴？; answer: 一分錢一分貨
你們千層自己做的嗎？,對 我們有自己的甜點部門專門在開發生產,question: 你們千層自己做的嗎？; answer: 對 我們有自己的甜點部門專門在開發生產
你們店生意好嗎？,好啊 看不出來嗎,question: 你們店生意好嗎？; answer: 好啊 看不出來嗎
你們用餐有限時嗎? ,90分鐘,question: 你們用餐有限時嗎? ; answer: 90分鐘
你們上班累嗎？,"有客人滿意的笑容,我們都不累當作在play","question: 你們上班累嗎？; answer: 有客人滿意的笑容,我們都不累當作在play"
店狗為什麼瞎掉？,白內障 老了,question: 店狗為什麼瞎掉？; answer: 白內障 老了
店狗是什麼狗？,法鬥,question: 店狗是什麼狗？; answer: 法鬥
千層內餡是用什麼？,卡士達,question: 千層內餡是用什麼？; answer: 卡士達
店內賣幾種酒? ,2種,question: 店內賣幾種酒? ; answer: 2種
目前有幾家分店? ,2家,question: 目前有幾家分店? ; answer: 2家
你們有會員嗎? ,有啊ocard,question: 你們有會員嗎? ; answer: 有啊ocard
你們老闆有幾個小孩? ,2個,question: 你們老闆有幾個小孩? ; answer: 2個
你們店長幾歲? ,27歲,question: 你們店長幾歲? ; answer: 27歲
你們店長是那個男生嗎？,沒戴眼鏡那個,question: 你們店長是那個男生嗎？; answer: 沒戴眼鏡那個
請寫出菜單上哪幾種餐點(飯/麵)內，不包含”蒜泥”? ,一.  橄欖油時蔬炒飯 二. 松露時蔬炒飯 三.  xo炒飯 四. 南瓜海鮮飯 五. 南瓜烤雞飯 六. 兒童餐,question: 請寫出菜單上哪幾種餐點(飯/麵)內，不包含”蒜泥”? ; answer: 一.  橄欖油時蔬炒飯 二. 松露時蔬炒飯 三.  xo炒飯 四. 南瓜海鮮飯 五. 南瓜烤雞飯 六. 兒童餐
XO醬肉醬燉飯內.蒜頭的部分是在燉飯內還是XO醬? ,XO醬,question: XO醬肉醬燉飯內.蒜頭的部分是在燉飯內還是XO醬? ; answer: XO醬
請問漢堡的生菜內，包含了什麼蔬菜，以及數量為多少? , 一. 酸黃瓜2片 二. 紫洋蔥些許 三. 茄片2片 四. 羅蔓or美生菜,question: 請問漢堡的生菜內，包含了什麼蔬菜，以及數量為多少? ; answer:  一. 酸黃瓜2片 二. 紫洋蔥些許 三. 茄片2片 四. 羅蔓or美生菜
請問店內素食餐點有哪些? , 一. 時蔬炒飯/麵 二. 瑪披 三. 松披 四. 炒野菇 五. 薯條 六. 時蔬沙拉,question: 請問店內素食餐點有哪些? ; answer:  一. 時蔬炒飯/麵 二. 瑪披 三. 松披 四. 炒野菇 五. 薯條 六. 時蔬沙拉
店內所有餐點都可以做不辣嗎? ,大部分都可以，不能的餐點為:  炙燒牛五花辣椒捲(開胃菜)，炙燒鮭魚生干貝佐南洋紅咖哩燉飯，舒肥雞(蒜辣),question: 店內所有餐點都可以做不辣嗎? ; answer: 大部分都可以，不能的餐點為:  炙燒牛五花辣椒捲(開胃菜)，炙燒鮭魚生干貝佐南洋紅咖哩燉飯，舒肥雞(蒜辣)
餐點擺盤上，綠色的葉子/像樹枝的東西/紅色的絲，分別是什麼,綠色的葉子:綠捲，像樹枝的東西:炸麵條，紅色的絲:辣椒絲,question: 餐點擺盤上，綠色的葉子/像樹枝的東西/紅色的絲，分別是什麼; answer: 綠色的葉子:綠捲，像樹枝的東西:炸麵條，紅色的絲:辣椒絲
凡是海鮮類的餐點，必定會加什麼東西去腥味?,白酒,question: 凡是海鮮類的餐點，必定會加什麼東西去腥味?; answer: 白酒
兒童餐內，是否有包含蒜泥成分?,否(只有洋泥),question: 兒童餐內，是否有包含蒜泥成分?; answer: 否(只有洋泥)
六種早午餐中，餐點必定包含哪四種配料?,一. 麵包 二. 沙拉 三. 薯塊 四. 蛋,question: 六種早午餐中，餐點必定包含哪四種配料?; answer: 一. 麵包 二. 沙拉 三. 薯塊 四. 蛋
早午餐中，哪兩種餐點只需要選飲料?,"明太子炙燒鮭魚可頌, 醬燒豬五花可頌","question: 早午餐中，哪兩種餐點只需要選飲料?; answer: 明太子炙燒鮭魚可頌, 醬燒豬五花可頌"
開胃菜中四種沙拉的醬分別為什麼?小點內時蔬沙拉醬汁又為何?,"凱薩烤雞:凱薩醬, 炙燒牛肉:胡麻醬 ,鮮蝦培根:胡麻醬 ,時蔬沙拉:蜂蜜芥末","question: 開胃菜中四種沙拉的醬分別為什麼?小點內時蔬沙拉醬汁又為何?; answer: 凱薩烤雞:凱薩醬, 炙燒牛肉:胡麻醬 ,鮮蝦培根:胡麻醬 ,時蔬沙拉:蜂蜜芥末"
請問蒜香炸雞，雞肉的部位為何?一份有多少呢?旁邊的醬又是什麼?,雞胸肉 250克 甜雞醬,question: 請問蒜香炸雞，雞肉的部位為何?一份有多少呢?旁邊的醬又是什麼?; answer: 雞胸肉 250克 甜雞醬
炙燒牛五花捲及BBQ燒烤雞翅一份各有幾隻?,"炙燒牛五花捲:6捲, BBQ燒烤雞翅:6隻","question: 炙燒牛五花捲及BBQ燒烤雞翅一份各有幾隻?; answer: 炙燒牛五花捲:6捲, BBQ燒烤雞翅:6隻"
"脆醬薯條份量為190克, 起司肉醬薯條及奶油松露薯條分量為幾克?","薯條一份為190克, 起司肉醬薯條及奶油松露薯條皆為1.5份 285克","question: 脆醬薯條份量為190克, 起司肉醬薯條及奶油松露薯條分量為幾克?; answer: 薯條一份為190克, 起司肉醬薯條及奶油松露薯條皆為1.5份 285克"
小點中，酥炸洋蔥圈份量為多少?,一份為8個,question: 小點中，酥炸洋蔥圈份量為多少?; answer: 一份為8個
店內牛肉產品中，肉品來源皆為?,美國,question: 店內牛肉產品中，肉品來源皆為?; answer: 美國
炭烤無骨牛小排/炭烤牛小排奶油松露燉飯/最強炭烤牛小排早午餐 肉的部分分別為幾盎司呢?一般建議為幾分熟?,"8盎司/4盎司/4盎司, 5分熟","question: 炭烤無骨牛小排/炭烤牛小排奶油松露燉飯/最強炭烤牛小排早午餐 肉的部分分別為幾盎司呢?一般建議為幾分熟?; answer: 8盎司/4盎司/4盎司, 5分熟"
請寫出下列主食一份的數量或內含物。 ,"牛肉漢堡排:一片(全牛), 骰子牛:90克, 松阪豬:5~6片, 牛五花:3~4片, 碳烤雞腿:一片, 蝦子(白蝦):5隻, 海鮮料:蝦3隻 魚肉 , 淡菜一個 蟹管 蛤蠣3 ,鮭魚:四片  干貝:一顆, 炸物拼盤:蒜香炸雞，洋蔥圈, 薯條，杏鮑菇","question: 請寫出下列主食一份的數量或內含物。 ; answer: 牛肉漢堡排:一片(全牛), 骰子牛:90克, 松阪豬:5~6片, 牛五花:3~4片, 碳烤雞腿:一片, 蝦子(白蝦):5隻, 海鮮料:蝦3隻 魚肉 , 淡菜一個 蟹管 蛤蠣3 ,鮭魚:四片  干貝:一顆, 炸物拼盤:蒜香炸雞，洋蔥圈, 薯條，杏鮑菇"
店內使用豬肉及龍蝦產地為何?,"豬肉:台灣, 龍蝦:澳洲","question: 店內使用豬肉及龍蝦產地為何?; answer: 豬肉:台灣, 龍蝦:澳洲"
